Épreuves;50 m;50 m (i);60 m;60 m (i);100 m;200 m;200 m (i);300 m;300 m (i);400 m;400 m (i);500 m;600 m;800 m;800 m (i);1 000 m;1 000 m (i);1 500 m;1 500 m (i);Mile;Mile (i);Mile Road;2 000 m;2 000 m (i);3 000 m;3 000 m (i);5 000 m;5 000 m (i);5 km;10 000 m;10 km;20 km;20 000 m;Semi-marathon;Marathon;100 km;50 m Haies (76) (i);50 m Haies (84) (i);60 m Haies (76) (i);60 m Haies (84) (i);80 m Haies (76);100 m Haies (84);100 m Haies (76);320 m Haies (76);400 m Haies (76);2 000 m Steeple (76);3 000 m Steeple (76);Hauteur;Perche;Longueur;Triple Saut;Hauteur (i);Perche (i);Longueur (i);Triple Saut (i);Poids (2 kg);Poids (3 kg);Poids (4 kg);Disque (800 g);Disque (1 kg);Disque (600 g);Marteau (2 kg);Marteau (3 kg);Marteau (4 kg);Javelot (400 g);Javelot (500 g);Poids (2 kg) (i);Poids (3 kg) (i);Poids (4 kg) (i);Javelot (600 g);Décathlon;Pentathlon (i);Héptathlon;4 × 100 m;4 × 200 m;4 × 200 m (i);4 × 400 m;4 × 400 m (i);4 × 800 m;4 × 800 m (i);2 000 m Marche;3 000 m Marche;3 km Marche;5 000 m Marche;5 km Marche;10 000 m Marche (i);10 000 m Marche;10 km Marche;2 000 m Marche (i);3 000 m Marche (i);5 000 m Marche (i);20 000 m Marche;20 km Marche;35 km Marche;50 km Marche;60 m Haies (76);60 m Haies (84);25 km;30 km;4 × 400 m Mixte;4 × 400 m Mixte (i)
a;33,03;33,03;24,9;24,9;9,92;2,242;1,962;0,7;0,6595;0,335;0,3224;0,1876;0,129;0,0688;0,0572;0,0382;0,03473;0,0134;0,01365;0,01165;0,01154;0,01165;0,006766;0,00685;0,002539;0,00259;0,000808;0,000825;0,000808;0,0001712;0,0001712;0,00002956;0,00002956;0,00002596;0,00000539;0,000000874;16,2;16,2;11,16;11,16;3,4273;3,98;3,98;0,257;0,208567;0,0045;0,001323;39,34;3,953;1,966;0,4282;39,34;3,953;1,966;0,4282;0,0462;0,0462;0,0462;0,0040277;0,0040277;0,0040277;0,0030965;0,0030965;0,0030965;0,004073;0,004073;0,0462;0,0462;0,0462;0,004073;9,589E-07;2,9445E-06;0,000001581;0,3895;0,0795;0,0826;0,01562;0,0155;0,00339;0,00367;0,001558;0,000923;0,000923;0,0003246;0,0003246;0,0000785;0,0000785;0,0000785;0,001558;0,000923;0,0003246;0,0000187;0,0000187;0,00000493;0,00000199;11,16;11,16;0,00001782;0,00001178;0,02732;0,02688
b;-12,1;-12,1;-14;-14;-22;-45,5;-47,5;-77;-79;-110;-112;-145,5;-180;-250;-264;-330;-340,4;-540;-540;-580;-585,5;-580;-750;-752,2;-1200;-1200;-2100;-2100;-2100;-4500;-4500;-10154;-10154;-10798;-23400;-61200;-15,3;-15,3;-18,2;-18,2;-28,4;-30;-30;-112;-130;-880;-1510;10,574;34,83;49,24;105,53;10,574;34,83;49,24;105,53;657,53;657,53;657,53;2227,3;2227,3;2227,3;2540;2540;2540;2214,9;2214,9;657,53;657,53;657,53;2214,9;71723;41033;55990;-98;-212;-212;-480;-484;-1080;-1080;-1385;-1842;-1842;-3140;-3140;-6420;-6420;-6420;-1385;-1842;-3140;-13200;-13200;-25440;-39360;-18,2;-18,2;-13020;-15029;-400;-405
c;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5000;-5000;-5000;-5000;-5000;-5000;-5000;-5000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-5000;-5000;-5000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
d;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Plancher;13,1;1310;1540;1540;2168;4483;4678;7580;7776;10827;11023;8500;3000;40618;41981;52488;53503;85136;85144;93073;93073;930;121784;122011;194015;194035;342482;342518;3425;734357;11345;24000;2400000;24211;61311;164211;1505;1505;1790;1790;2840;2949;2949;11200;12780;142500;244250;71;74;120;254;71;74;120;254;44;44;44;113;113;113;151;151;151;110;110;44;44;44;110;359;254;254;9639;32845;32852;75199;75596;11000;11000;230500;343300;3433;512449;5124;1452300;1452300;20400;230500;343300;575000;3433000;34330;50000;105358;1790;1790;33210;41817;64076;64076
