Coefficients;50 m (i);50 m;60 m (i);60 m;100 m;200 m;300 m;400 m;1 000 m (i);1 000 m;1 500 m;50 m Haies (65) (i);50 m Haies (65);50 m Haies (84) (i);50 m Haies (84);50 m Haies (91) (i);50 m Haies (91);50 m Haies (99) (i);50 m Haies (99);50 m Haies (1.06) (i);50 m Haies (1.06);60 m Haies (76) (i);60 m Haies (76);60 m Haies (84) (i);60 m Haie (84);60 m Haies (91) (i);60 m Haies (91);60 m Haies (99) (i);60 m Haies (99);60 m Haies (1.06) (i);60 m Haies (1.06);100 m Haies (84) MI;100 m Haies (84);100 m Haies (91);110 m Haies (91);110 m Haies (99);110 m Haies (1.06);Hauteur (i);Hauteur;Perche (i);Perche;Longueur (i);Longueur;Poids (3 kg) (i);Poids (3 kg);Poids (4 kg) (i);Poids (4 kg);Poids (5 kg) (i);Poids (5 kg);Poids (6 kg) (i);Poids (6 kg);Poids (7.26 kg) (i);Poids (7.26 kg);Marteau (3 kg);Marteau (4 kg);Marteau (5 kg);Marteau (6 kg);Marteau (7.26 kg);Disque (1 kg);Disque (1.25 kg);Disque (1.5 kg);Disque (1.75 kg);Disque (2 kg);Javelot (500 g);Javelot (600 g);Javelot (700 g);Javelot (800 g)
a;77,5;77,5;58,015;58,015;25,4347;5,8425;2,58503;1,53775;0,08713;0,08713;0,03768;29,899;29,899;29,899;29,899;29,899;29,899;29,899;29,899;29,899;29,899;20,5173;20,5173;20,5173;20,5173;20,5173;20,5173;20,5173;20,5173;20,5173;20,5173;5,5767;5,74352;5,74352;5,74352;5,74352;5,74352;0,8465;0,8465;0,2797;0,2797;0,14354;0,14354;51,39;51,39;51,39;51,39;51,39;51,39;51,39;51,39;51,39;51,39;13,0941;13,0941;13,0941;13,0941;13,0941;12,91;12,91;12,91;12,91;12,91;10,14;10,14;10,14;10,14
b;9,7;9,7;11,5;11,5;18;38;60,1;82;305,5;305,5;480;13;13;13;13;13;13;13;13;13;13;15,5;15,5;15,5;15,5;15,5;15,5;15,5;15,5;15,5;15,5;26,5;28,5;28,5;28,5;28,5;28,5;75;75;100;100;220;220;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;5,5;5,5;5,5;5,5;5,5;4;4;4;4;4;7;7;7;7
c;1,81;1,81;1,81;1,81;1,81;1,81;1,81;1,81;1,85;1,85;1,85;1,92;1,92;1,92;1,92;1,92;1,92;1,92;1,92;1,92;1,92;1,92;1,92;1,92;1,92;1,92;1,92;1,92;1,92;1,92;1,92;1,92;1,92;1,92;1,92;1,92;1,92;1,42;1,42;1,35;1,35;1,4;1,4;1,05;1,05;1,05;1,05;1,05;1,05;1,05;1,05;1,05;1,05;1,05;1,05;1,05;1,05;1,05;1,1;1,1;1,1;1,1;1,1;1,08;1,08;1,08;1,08
