Épreuves;50 m;50 m (i);60 m;60 m (i);100 m;200 m;200 m (i);300 m;300 m (i);400 m;400 m (i);500 m;600 m;800 m;800 m (i);1 000 m;1 000 m (i);1 500 m;1 500 m (i);Mile (i);Mile;Mile Road;2 000 m;2 000 m (i);3 000 m;3 000 m (i);5 000 m;5 000 m (i);5 km;10 000 m;10 km;20 km;20 000 m;Semi-marathon;Marathon;100 km;50m Haies (76) (i);50 m Haies (84) (i);50 m Haies (91) (i);50 m Haies (1.06) (i);60 m Haies (91) (i);60 m Haies (1.06) (i);100 m Haies (84);110 m Haies (91);110 m Haies (1.06);110 m Haies (99);50 m Haies (99) (i);60 m Haies (99) (i);320 m Haies (84);400 m Haies (84);400 m Haies (91);1 500 m Steeple (91);2 000 m Steeple (76);2 000 m Steeple (91);2 000 m Steeple (84) ;3 000 m Steeple (91);Hauteur;Perche;Longueur;Triple Saut;Hauteur (i);Perche (i);Longueur (i);Triple Saut (i);Poids (2 kg);Poids (3 kg);Poids (4 kg);Poids (5 kg);Poids (6 kg);Poids (7.26 kg);Disque (800 g);Disque (1 kg);Disque (1.25 kg);Disque (1.5 kg);Disque (600 g);Disque (1.75 kg);Disque (2 kg);Marteau (2 kg);Marteau (3 kg);Marteau (4 kg);Marteau (5 kg);Marteau (6 kg);Marteau (7.26 kg);Javelot (400 g);Javelot (500 g);Poids (2 kg) (i);Poids (3 kg) (i);Poids (4 kg) (i);Poids (5 kg) (i);Poids (6 kg) (i);Poids (7.26 kg) (i);Javelot (600 g);Javelot (700 g);Javelot (800 g);Décathlon;Héptathlon (i);4 × 100 m;4 × 200 m;4 × 200 m (i);4 × 400 m;4 × 400 m (i);4 × 800 m;4 × 800 m (i);3 000 m Marche;3 km Marche;5 000 m Marche;5 km Marche;10 000 m Marche;10 000 m Marche (i);10 km Marche;3 000 m Marche (i);5 000 m Marche (i);20 000 m Marche;20 km Marche;35 km Marche;50 000 m Marche;50 km Marche;60 m Haies (91);60 m Haies (1.06);60 m Haies (99);4 × 400 m Mixte;25 km;30 km;4 × 400 m Mixte (i)
a;95,8;95,8;68,6;68,6;24,63;5,08;5,04;1,83;1,803;1,021;0,981;0,585;0,3857;0,198;0,1974;0,1123;0,1139;0,04066;0,042;0,0369;0,0351;0,0351;0,02181;0,0226;0,00815;0,008322;0,002778;0,0029;0,002778;0,000524;0,000524;0,0001085;0,0001085;0,0000947;0,0000201;0,000001765;34,2;34,2;34,2;34,2;23,9;23,9;5,58;7,66;7,66;7,66;34,2;23,9;0,705;0,205;0,546;0,0209;0,01023;0,01023;0,01023;0,004316;32,29;3,042;1,929;0,4611;32,29;3,042;1,929;0,4611;0,042172;0,042172;0,042172;0,042172;0,042172;0,042172;0,004007;0,004007;0,004007;0,004007;0,004007;0,004007;0,004007;0,0028462;0,0028462;0,0028462;0,0028462;0,0028462;0,0028462;0,0023974;0,0023974;0,042172;0,042172;0,042172;0,042172;0,042172;0,042172;0,0023974;0,0023974;0,0023974;9,774E-07;0,000001752;1,236;0,29767;0,312;0,0505;0,0489;0,01106;0,01189;0,001318;0,001318;0,000467;0,000467;0,0001137;0,0001137;0,0001137;0,001318;0,000467;0,00002735;0,00002735;0,00000614;0,000002124;0,000002124;23,9;23,9;23,9;0,02732;0,0000638;0,0000419;0,02688
b;-9,2;-9,2;-10,7;-10,7;-17;-35,5;-36;-57,2;-58;-79;-80,6;-104;-129,5;-182;-184;-237,5;-240;-385;-386;-415;-415;-415;-528;-528;-840;-840;-1440;-1440;-1440;-3150;-3150;-6703;-6703;-7140;-15300;-48600;-12,35;-12,35;-12,35;-12,35;-14,6;-14,6;-26,8;-25,8;-25,8;-25,8;-12,35;-14,6;-80;-120;-95,5;-472;-660;-660;-660;-1020;11,534;39,39;48,41;98,63;11,534;39,39;48,41;98,63;687,7;687,7;687,7;687,7;687,7;687,7;2232,6;2232,6;2232,6;2232,6;2232,6;2232,6;2232,6;2649,4;2649,4;2649,4;2649,4;2649,4;2649,4;2886,8;2886,8;687,7;687,7;687,7;687,7;687,7;687,7;2886,8;2886,8;2886,8;71173;53175;-69,5;-144;-144;-334;-340;-757,9;-757,9;-1605;-1605;-2700;-2700;-5550;-5550;-5550;-1605;-2700;-11400;-11400;-22800;-37200;-37200;-14,6;-14,6;-14,6;-400;-8640;-10600;-405
c;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5000;-5000;-5000;-5000;-5000;-5000;-5000;-5000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-20000;-5000;-5000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
d;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,01;0;0;-0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Plancher;9,09;909;1057;1057;1679;3505;3555;5900;5725;7801;7959;8500;3000;25975;30174;35694;35703;62004;62112;64966;64966;649;84122;84134;134892;134903;234102;234143;2340;520000;5147;15000;1500000;15521;42553;131728;1217;1217;1217;1217;1439;1439;2543;2800;2800;2800;1320;1570;8000;20000;9414;75200;105012;105012;105012;164477;92;116;251;552;92;116;251;552;98;98;98;98;98;98;157;157;157;157;157;157;157;147;147;147;147;147;147;159;159;98;98;98;98;98;98;159;159;159;359;359;6860;22216;22220;52955;53547;150000;15000;342000;3420;441372;4413;1312500;1312500;13500;342000;575000;3420000;34330;50000;10540000;100834;1439;1439;1570;64076;22318;40000;64076
