Coefficients;60 m (i);60 m;100 m;200 m;400 m;800 m;1 000 m (i);1 000 m;1 500 m;50 m Haies (65) (i);50 m Haies (65);50 m Haies (76) (i);50 m Haies (76);50 m haies (84) (i);50 m Haies (84);60 m Haies (76) (i);60 m Haies (76);60 m Haies (84) (i);60 m Haies (84);80 m Haies (76) (i);80 m Haies (76);100 m Haies (76);100 m Haies (84);Hauteur (i);Hauteur;Perche (i);Perche;Longueur (i);Longueur;Poids (2 kg) (i);Poids (2 kg);Poids (3 kg) (i);Poids (3 kg);Poids (4 kg) (i);Poids (4 kg);Marteau (2 kg);Marteau (3 kg);Marteau (4 kg);Disque (600 g);Disque (800 g);Disque (1 kg);Javelot (400 g);Javelot (500 g);Javelot (600 g)
a;46,0849;46,0849;17,857;4,99087;1,34285;0,11193;0,06854;0,06854;0,02883;32,1912;32,1912;32,1912;32,1912;32,1912;32,1912;20,0479;20,0479;20,0479;20,0479;11,4938;11,4938;9,23076;9,23076;1,84523;1,84523;0,44125;0,44125;0,188807;0,188807;56,0211;56,0211;56,0211;56,0211;56,0211;56,0211;13,3174;13,3174;13,3174;12,3311;12,3311;12,3311;15,9803;15,9803;15,9803
b;13;13;21;42,5;91,7;254;332;332;535;14;14;14;14;14;14;17;17;17;17;22,5;22,5;26,7;26,7;75;75;100;100;210;210;1,5;1,5;1,5;1,5;1,5;1,5;5;5;5;3;3;3;3,8;3,8;3,8
c;1,81;1,81;1,81;1,81;1,81;1,88;1,88;1,88;1,88;1,835;1,835;1,835;1,835;1,835;1,835;1,835;1,835;1,835;1,835;1,835;1,835;1,835;1,835;1,348;1,348;1,35;1,35;1,41;1,41;1,05;1,05;1,05;1,05;1,05;1,05;1,05;1,05;1,05;1,1;1,1;1,1;1,04;1,04;1,04
